index,recipe_title,recipe_description,recipe_image,recipe_image_alt_text,recipe_author,recipe_category,recipe_cuisine,recipe_note,recipe_tags,recipe_ingredients,recipe_directions
11,Shepards Pie,,,Shepards Pie,Ryan White,,,,,"1.5  russet potatoes,0.25  half-and-half,2  unsalted butter,0.75  kosher salt,0.25  ground black pepper,1  egg yolk,2  canola oil,1  onion,2 ea carrots,2 cloves &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&"" peas (can or frozen)","Peel the potatoes and cut into 1/2-inch dice. Bring to boil, covered. Once boiling, uncover, decrease the heat to maintain a simmer and cook until tender and easily crushed with tongs, 10 to 15 minutes. ,Warm half-and-half and butter in microwave 35 seconds. Drain the potatoes in a colander and then return to the saucepan. Mash the potatoes and then add the half and half, butter, salt and pepper and continue to mash. Stir in the yolk until well combined.,Preheat the oven to 400 degrees F. Dice carrots and onions. ,Place the canola oil into a 12-inch saute pan, medium high heat. Saute onion and carrots until they begin to take on color, 3 to 4 minutes. Add the garlic, lamb, salt and pepper and cook until browned, 3 minutes. Toss in flour and coat, continuing to cook for another minute.,Add the tomato paste, chicken broth, Worcestershire, rosemary, thyme, and stir to combine. Bring to a boil, reduce the heat to low, cover and simmer slowly 10 to 12 minutes or until thickened.,Add the corn and peas to the lamb mixture and spread evenly into an 11 by 7-inch glass baking dish. Top with the mashed potatoes. Push potatoes to edge of pan and seal so that it doesn't bubble around the outside.,(Optional: Cover and freeze for later date OR) Place on a parchment lined half sheet pan on the middle rack of the oven and bake for 25 minutes or just until the potatoes begin to brown. Remove to a cooling rack for at least 15 minutes before serving."
12,Philly Cheesesteak,,,Philly Cheesesteak,Ryan White,,,,,"1 lb Shaved ribeye,4 Tbsp Lowery's Seasoning Salt,1 ea Green Pepper,1 ea Onion,3 Tbsp Unsalted Butter,2 Tbsp Peanut Oil,0.5 C Cheese whiz,2 ea Italian (medium soft) hoagie buns,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Let ribeye sit out to warm to room temperature. Sprinkle with seasoning salt. ,Slice Green Pepper & Onion. Saute in butter in second pan (covered),Heat pan over med-high. Pour oil over meat. In small batches cook meat turning often. ,Heat cheese whiz in microwave for 30-45 seconds. ,Heat up hoagies a bit in pan (cut side down). ,Spread cheese whiz on hoagie. ,Fill hoagies with meat and top with pepper and onions"
13,French Fries,,,French Fries,Ryan White,,,,,"2 lbs Russet Potatoes,1 qt Peanut Oil,4 Tbps Kosher Salt,  ,  ,  ,  ,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Peel potatoes. Cut into 1/4"" fries,Heat oil in dutch oven sized pot to 350 + degrees,In small batches fry potatoes 5 min. Pull out to drain. Wait. Keep oil above 350 all times. ,Fry a second time until crispy and golden brown. ,Sprinkle with salt. Serve.,,"
14,Bayou Fried Shrimp,,,Bayou Fried Shrimp,Ryan White,,,,,"3 lbs unpeeled, large raw shrimp,2 C Milk,1 ea egg,1 Tbsp Yellow Mustard,1 tsp Cajun Seasoning,12 oz fish fry mix,1 Tbsp Cajun Seasoning,6 C Vegetable Oil,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Peel shrimp, leaving tails on. Butterfly shrimp by making a deep slit down back of each from large end to tail, cutting to but not through inside curve of shrimp. Devein shrimp, and place in a large bowl.,Whisk together milk and next 3 ingredients. Pour mixture over shrimp. Let stand at least 15 minutes or up to 1 hour.,Combine fish fry mix and 1 Tbsp. Cajun seasoning. Dredge shrimp in fish fry mixture, and shake off excess. Arrange on baking sheets.,Pour oil to a depth of 3 inches into a Dutch oven; heat to 325º. Fry shrimp, in batches, 1 1/2 minutes on each side or until golden brown; drain on wire racks over paper towels.,,,"
15,ChocolateCheesePie,,,ChocolateCheesePie,Ryan White,,,,,"  1 package (8 ounces) cream cheese, softened,  1/4 cup butter, softened,  1/3 cup sugar,  1-1/2 teaspoons vanilla extract,  1-1/2 cups milk chocolate chips, melted and cooled,  1 carton (8 ounces) frozen whipped topping, thawed,  1 graham cracker crust (9 inches),  Chocolate curls, optional,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","In a large bowl, beat cream cheese, butter, sugar and vanilla until smooth. ,Beat in cooled chocolate. ,Fold in whipped topping. ,Spoon into crust. ,Decorate with chocolate curls as desired.,Refrigerate until serving.,"
16,BeefAndNoodles,,,BeefAndNoodles,Ryan White,,,,,"1 ea Onion,3 stalks celery,3 ea carrots,0.75 cups flour,1 lbs Chuck roast (vac and freeze remaining),0.5 cups Red Wine or dark cooking alcohol,3 cups Au Jus,5 cloves garlic,1 sachet thyme,1 ea &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Pat chuck roast dry. Set out to reach room temperature. Dust with 1/2 the flour. Chop onion celery carrots. ,In large pot or dutch oven over high heat, sear chuck roast all over. Set aside. ,Add miripoix to pot, reduce heat to medium. Once sweaty, add remaining flour and mix.,Increase heat, Add wine, scrape bottom. Once bottom bits are up, add au jus and reduce to simmer. Add garlic, thyme, bay leaf. Adjust salt and pepper levels. Cover. 1 hr. ,Once roast is falling apart, add egg noodles, cover, 20-30 min. ,,"
17,Shakshuka,,,Shakshuka,Ryan White,,,,,"1.5 Tbsp extra-virgin olive oil,0.5 ea onion, chopped,0.5 ea red bell pepper, thinly sliced,0.25 ea small bunch cilantro, leaves and tender stems separated, chopped,2 CLOVES small cloves garlic, thinly sliced,0.75 TSP ground cumin,0.5 TSP paprika,1 pinch red pepper flakes,to taste to taste Kosher salt and freshly ground pepper,1 15-oz can &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Heat olive oil in an ovenproof skillet over medium-high heat.

Sweat onion and bell pepper 10 minutes. ,Add cilantro stems, garlic, cumin, paprika and red pepper flakes, 1/4 teaspoon salt and a few grinds of pepper. 

Combine, about 1 minute.,Stir the tomatoes with their juices into the skillet. Maintain a low simmer, about 20 minutes until sauce thickens; season with salt and pepper.

Preheat the oven to 375 degrees F. ,Use spoon to make 4 wells in the sauce. 

Crack an egg into each well. ,Transfer skillet to the oven and bake until the egg whites are just set, 15 to 18 minutes. ,Season with salt and pepper and top with the cilantro leaves.,Serve with naan bread and butter fried polenta"
18,Turkey Chopped Salad,,,Turkey Chopped Salad,Ryan White,,,,,"0.25 C orange juice,1 Tbsp olive oil,1 Tbsp lime juice,1 Tbsp honey,1 tsp poppy seeds,2 ea corn tortillas,2 C frozen corn kernels,1 tsp olive oil,6 C chopped romaine lettuce,2 C &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","For dressing, whisk together orange juice, olive oil, lime juice, honey and poppy seeds in a small bowl. Set aside.,Preheat oven to 350 degrees F. Cut the tortillas into 1/4-inch strips. Spread the strips in a single layer on a baking sheet lined with parchment paper. Bake for 8 to 10 minutes or until crisp. Set aside.,Cook corn in the olive oil in a large skillet over medium heat for 6 to 8 minutes or until light brown. Remove from heat. Set aside,Combine the romaine, turkey, tomatoes, bell pepper, onion, turkey bacon and reserved corn in a large bowl. Add the reserved dressing; toss to combine. Arrange salad on serving plates. Top evenly with reserved tortilla strips.,,,"
19,Overnight Oats,,,Overnight Oats,Ryan White,,,,,"0.5 C Rolled or steel cut oats,0.5 C Milk,0.25 C yogurt,Misc  Toppings: Diced Raspberry mango, chocolate chips and  bananna, orange cardamom, strawberry,  ,  ,  ,  ,  ,  &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","Layer Oats, milk, yogurt and toppings in a quart jar. Seal and refridgerate overnight. Enjoy in the morning. ,,,,,,"
20,SweetHomeAvocadoBurger,,,SweetHomeAvocadoBurger,Ryan White,,,,,"1 C fresh lime jiuce,0.5 C honey,1 tsp salt,1 lb ground beef,1 ea videlia onion, chopped,3 ea Roma Tomatoes, seeded and chopped,1 ea bell pepper, chopped,0.5 C chopped stevia leaves,1 tsp olive oil,4 ea &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""","In small saucepan cook lime jiuce, honey and 1 tsp salt until disolved. Cool in refridgerator.  ,Marinade beef with 3/4 C lime jiuce for > 1 hr,Drain beef and form 4 patties with salt and pepper,In bowl mix stevia leaves, onion, tomatoes, pepper, olive oil and dash of salt.,Build Burger: Bottom bun, burger, avocado slices, scoop of veggie mixture, dash of lime jiuce, top bun.,Serve with French fries & Fruit salad. ,"
21, Salmon Coconut Curry,,, Salmon Coconut Curry,Ryan White,,,,,"1 tsp mustard seeds ,0.333333333333333 ea yellow onion, roughly chopped,10 g fresh ginger, peeled and grated,1 ea fresh red chili (~6g), stem removed,1 ea garlic clove,1 tsp curry powder,1 tsp ground coriander,1 tsp ground turmeric,0.5 tsp salt,0.25 tsp &C19&""&A20&""&B20&""&C20&""&A21&""&B21&""&C21&""&A22&""&B22&""&C22&""&A23&""&B23&""&C23&""&A24&""&B24&""&C24&""&A25&""&B22&""&C25&""&A26&""&B26&""&C26&""&A27&""&B27&""&C27&""&A28&""&B28&""&C28&""&A29&""&B29&""&C29&""&A30&""&B30&""lime juice","Curry Paste: In a large pan over medium heat, dry fry mustard seeds until they start to pop just slightly, about 1-2 minutes. Remove pan from heat, set aside, and allow mustard seeds to cool.,To a mortar and pestle or single-serve blender attachment, add all Curry Paste ingredients and grind or pulse until well-combined.,Salmon: Using a sharp knife, carefully remove the skin from the salmon by placing the salmon skin side up and cutting it off, peeling it back as you cut just beneath the skin. Discard the salmon skin. Cut the salmon into 1-inch x 1-inch cubes.,To same pan, heat olive oil and fry prepared Curry Paste for 1-2 minutes, stirring occasionally so it doesn’t stick to the pan. Add coconut milk, vegetable broth, coconut aminos, fish sauce, tomatoes, and black pepper. Cover pan with lid and cook on medium heat until sauce starts to reduce, about 5-6 minutes.,Final Steps: To the pan of cooked Curry Paste, add cubed salmon and cook for an additional 5-6 minutes, before adding the bok choy and greens beans to cook until slightly wilted and softened, about 1-2 minutes. Add lime juice. Taste mixture and, as needed, adjust seasoning to your preferences. Serve in bowls and top with chopped cilantro.,Prepare rice. Heat Naan Through. ,"
